,Year,Month,Export Quantity (kg),Export Price (LKR/kg),Exchange Rate (LKR/USD),Export Price (USD/kg),Global_Tea_Price ($),Log_Return
2019-05-01,2019,May,19863877.89,808.07,178.2414809523809,4.533568705120243,2.73002526555,-0.008759686253011531
2019-06-01,2019,June,22817206.5,791.25,178.3973368421053,4.435324058118168,2.56195490104,-0.0219087415341937
2019-07-01,2019,July,23607239.33,761.13,177.7060363636364,4.28308466934975,2.57951625082,-0.03492721429938418
2019-08-01,2019,August,24947750.71,771.11,179.714255,4.290755900248424,2.6269387065,0.001789450802922866
2019-09-01,2019,September,23686388.78,771.06,182.44269,4.226313479591866,2.54333205255,-0.01513282270379764
2019-10-01,2019,October,24698108.07,766.37,183.1329608695652,4.18477370955543,2.58178842046,-0.009877464550057452
2019-11-01,2019,November,20924297.0,796.64,182.1379842105264,4.37382681845866,2.61496361162,0.04418569737982031
2019-12-01,2019,December,22658233.84,773.54,182.961355,4.227887359054594,2.56810384994,-0.03393590207705224
2020-01-01,2020,January,20985856.92,784.2,183.1750714285714,4.281150234494635,2.50762380872,0.01251929387365998
2020-02-01,2020,February,22460015.49,793.16,183.3485611111112,4.325967955207114,2.35911707882,0.01041420015036046
2020-03-01,2020,March,12973999.58,802.61,186.8240294117647,4.296074774359075,2.13391909664,-0.006934157383323999
2020-04-01,2020,April,17329806.5,813.28,196.5440833333333,4.137901208761902,2.355843643,-0.03751305774509922
2020-05-01,2020,May,21536168.25,872.17,189.9585764705882,4.59136942487585,2.5072032289,0.1039896243341483
2020-06-01,2020,June,22388900.4,875.16,188.29,4.64793669339848,2.83584737029,0.01224507005460169
2020-07-01,2020,July,26424927.75,839.2,188.1108695652174,4.461198876703148,3.04014078191,-0.04100586293012558
2020-08-01,2020,August,20986225.56,835.68,187.108,4.466297539389015,3.14850371794,0.001142238092872787
2020-09-01,2020,September,23046532.81,842.11,187.1533333333334,4.499572543012858,3.07961320405,0.007422627384257294
2020-10-01,2020,October,21758532.24,861.15,186.5675,4.615755691639755,2.99741934848,0.02549319956113976
2020-11-01,2020,November,18961021.69,844.61,186.9890476190476,4.51689556556661,2.77942760165,-0.02165066528723724
2020-12-01,2020,December,22925702.77,854.67,189.7066666666667,4.505218583075625,2.64694307645,-0.002588526107895628
2021-01-01,2021,January,19681330.11,890.42,194.7829157894737,4.57134547139847,2.67952553987,0.01457116545878804
2021-02-01,2021,February,21994391.17,903.76,196.9733944444444,4.588233870614957,2.5554176964,0.003687596935136976
2021-03-01,2021,March,24369241.4,916.66,199.8638909090909,4.586421268146668,2.42971471426,-0.0003951325612696051
2021-04-01,2021,April,15340043.51,916.82,200.6112777777778,4.57013189964118,2.66680157246,-0.003557973265955916
2021-05-01,2021,May,22617968.28,878.66,202.0893833333333,4.347878080021192,2.71186371566,-0.04985413816320101
2021-06-01,2021,June,25510131.85,882.67,202.8913476190476,4.350456588505277,2.69850506451,0.0005928740748371491
2021-07-01,2021,July,24302510.63,860.21,202.8977,4.239624204710059,2.65257205527,-0.02580616811585028
2021-08-01,2021,August,24263692.0,871.64,202.9886090909091,4.294034053948483,2.7152308005,0.01275199566268175
2021-09-01,2021,September,22277123.0,854.88,203.0407095238096,4.210387178043979,2.72736012521,-0.01967202026710208
2021-10-01,2021,October,23099295.21,864.04,202.9992000000001,4.256371453680604,2.78018124085,0.01086241613450748
2021-11-01,2021,November,24492016.51,880.13,202.9992000000001,4.335632849784628,2.83076375558,0.01845055980566903
2021-12-01,2021,December,22811361.85,879.2,202.9992000000001,4.331051550942071,2.81890784726,-0.001057220744968697
2022-01-01,2022,January,18433734.03,903.81,202.9992000000001,4.452283555797262,2.86190204087,0.02760675822133521
2022-02-01,2022,February,20149613.83,927.77,202.9992000000001,4.570313577590452,2.78835909895,0.02616469592926273
2022-03-01,2022,March,22028844.51,1009.15,261.6883142857143,3.856305172642132,2.61364854464,-0.169872303193262
2022-04-01,2022,April,17410171.34,1355.27,331.1077666666666,4.09313865888377,3.24066791571,0.05960255811588518
2022-05-01,2022,May,18610703.68,1646.62,367.35405,4.482378784172925,2.98524993581,0.09084181010235097
2022-06-01,2022,June,22300051.19,1709.32,366.5858523809524,4.66280951350979,2.96427731058,0.0394642822435728
2022-07-01,2022,July,21661017.05,1789.11,368.23014,4.858673437215107,3.308573635,0.04114727898655582
2022-08-01,2022,August,21791896.9,1873.6,368.6678909090909,5.082080772968665,3.36938450465,0.0449553333571038
2022-09-01,2022,September,20252727.79,1914.4,369.6393363636364,5.179102470080971,3.33439935316,0.0189109942296714
2022-10-01,2022,October,17865940.83,2005.91,370.6457315789473,5.411933361419926,3.14687079089,0.04397462418285702
2022-11-01,2022,November,18127394.7,1921.81,371.6901904761905,5.170461984853232,3.04665955023,-0.04564435381695574
2022-12-01,2022,December,18138262.85,1943.16,371.6943200000002,5.227844213492418,2.94939406624,0.01103695352716965
2023-01-01,2023,January,16381285.0,1988.24,371.447945,5.352674652702683,2.76957197412,0.02359737423898364
2023-02-01,2023,February,17295105.61,1960.14,369.65102,5.302677103393358,2.70275797693,-0.009384564187797243
2023-03-01,2023,March,16877670.34,1935.08,338.1848772727272,5.721958993569856,2.68777325371,0.0760994212728506
2023-04-01,2023,April,15035531.7,1795.61,328.73015,5.462261371523117,2.95803877302,-0.04644835353120139
2023-05-01,2023,May,18705403.22,1682.77,316.6313380952382,5.31460344425493,2.71223656379,-0.02740447628647571
2023-06-01,2023,June,20267634.73,1500.08,309.752485,4.842834432789135,2.69450681029,-0.09295822240847333
2023-07-01,2023,July,21686629.1,1546.66,326.37588,4.73889185683697,2.46670467474,-0.0216968530280542
2023-08-01,2023,August,22229855.98,1570.65,327.8466095238095,4.790807512944352,2.83496393834,0.01089565739497856
2023-09-01,2023,September,21905662.66,1607.19,328.4834789473684,4.892757484030159,2.84695076117,0.02105706692562658
2023-10-01,2023,October,17247769.72,1649.64,330.0381227272727,4.99833166656078,2.75596128806,0.02134814284906818
2023-11-01,2023,November,19616482.31,1618.14,333.3406,4.854314175950964,2.7412037104,-0.02923635969230354
2023-12-01,2023,December,19505950.67,1676.08,331.6514210526316,5.053739841307701,2.71402020373,0.04026070146641862
2024-01-01,2024,January,17756334.34,1685.02,325.9756571428572,5.169158994168539,2.65779725353,0.02258147307323098
2024-02-01,2024,February,20846210.66,1719.17,317.3604999999999,5.417088768135923,2.7083573978,0.04684853858213664
2024-03-01,2024,March,19917944.99,1733.17,310.1302263157895,5.588523313542496,2.68655848842,0.0311565430376751
2024-04-01,2024,April,15346808.55,1680.67,304.1364473684211,5.526039429151648,3.03388527101,-0.01124372485193394
2024-05-01,2024,May,18082178.08,1710.42,304.56132,5.616011908537828,3.19554153628,0.01615042550503427
2024-06-01,2024,June,19435617.88,1710.11,308.5366722222223,5.542647451542812,3.22211974447,-0.0131495212363164
2024-07-01,2024,July,19564328.31,1724.64,308.3477,5.593166415705388,3.29554042421,0.009073303728819872
2024-08-01,2024,August,20350896.01,1699.85,305.2443095238095,5.568817982722816,3.22486988042,-0.004362749621083094
2024-09-01,2024,September,18188846.32,1719.77,305.6686368421052,5.626255993310679,3.2684684135,0.01026139080635223
2024-10-01,2024,October,18961991.68,1717.55,298.3010809523809,5.757773302451358,3.14555524744,0.02310660966600698
2024-11-01,2024,November,18458691.24,1663.65,296.4858499999999,5.611229001316591,3.08916784132,-0.02578105167116378
2024-12-01,2024,December,20562429.89,1651.14,296.0476190476191,5.577278430110986,2.95565574238,-0.00606884798820075
